2025-08-14 10:57:18.549 [restartedMain] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Initializing simulated devices...
2025-08-14 10:57:18.715 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HEATER_001
2025-08-14 10:57:18.721 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HEATER_002
2025-08-14 10:57:18.732 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: COOLER_001
2025-08-14 10:57:18.739 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HUMIDIFIER_001
2025-08-14 10:57:18.744 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=5.0, 阈值=10.0, 级别=HIGH
2025-08-14 10:57:18.749 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: DEHUMIDIFIER_001
2025-08-14 10:57:18.752 [scheduling-1] WARN  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Critical low temperature alert: 5.0°C
2025-08-14 10:57:18.757 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_001
2025-08-14 10:57:18.764 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=HUMIDITY, 参数值=25.93, 阈值=30.0, 级别=HIGH
2025-08-14 10:57:18.766 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_002
2025-08-14 10:57:18.768 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Low humidity alert: 25.93%
2025-08-14 10:57:18.775 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_003
2025-08-14 10:57:18.779 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=LIGHT, 参数值=1720.59, 阈值=5000.0, 级别=MEDIUM
2025-08-14 10:57:18.783 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: LIGHT_001
2025-08-14 10:57:18.783 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - Low light intensity alert during daytime: 1720.59 lux
2025-08-14 10:57:18.788 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发系统报警: 消息=CO2浓度过高警告：当前CO2浓度1952 ppm，高于推荐阈值1500 ppm
2025-08-14 10:57:18.789 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: LIGHT_002
2025-08-14 10:57:18.792 [scheduling-1] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - High CO2 level alert: 1951.5 ppm
2025-08-14 10:57:18.797 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: IRRIGATION_001
2025-08-14 10:57:18.804 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: IRRIGATION_002
2025-08-14 10:57:18.805 [restartedMain] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Successfully initialized 12 simulated devices
2025-08-14 10:57:18.807 [restartedMain] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Started automatic device control
2025-08-14 10:57:18.807 [restartedMain] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - All scheduled tasks started
2025-08-14 11:01:18.695 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too low (343.75 ppm), reduced ventilation
2025-08-14 11:02:21.386 [restartedMain] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Initializing simulated devices...
2025-08-14 11:02:21.509 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HEATER_001
2025-08-14 11:02:21.517 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HEATER_002
2025-08-14 11:02:21.524 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: COOLER_001
2025-08-14 11:02:21.531 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: HUMIDIFIER_001
2025-08-14 11:02:21.537 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: DEHUMIDIFIER_001
2025-08-14 11:02:21.540 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_001
2025-08-14 11:02:21.545 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_002
2025-08-14 11:02:21.552 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: FAN_003
2025-08-14 11:02:21.559 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: LIGHT_001
2025-08-14 11:02:21.564 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: LIGHT_002
2025-08-14 11:02:21.568 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: IRRIGATION_001
2025-08-14 11:02:21.574 [restartedMain] WARN  [] [] com.greenhouse.service.impl.DeviceServiceImpl - 设备更新失败: IRRIGATION_002
2025-08-14 11:02:21.574 [restartedMain] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Successfully initialized 12 simulated devices
2025-08-14 11:02:21.574 [restartedMain] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Started automatic device control
2025-08-14 11:02:21.574 [restartedMain] INFO  [] [] c.greenhouse.service.impl.ScheduledTaskServiceImpl - All scheduled tasks started
2025-08-14 11:04:21.429 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Temperature too high (29.27°C), started cooling
2025-08-14 11:04:21.454 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Humidity too low (47.98%), started humidifying
2025-08-14 11:04:21.518 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - Soil humidity too high (71.61%), started drainage
2025-08-14 11:04:21.545 [scheduling-1] INFO  [] [] c.g.service.impl.DeviceSimulationServiceImpl - CO2 level too low (300.0 ppm), reduced ventilation
2025-08-14 11:05:21.540 [scheduling-1] INFO  [] [] com.greenhouse.service.impl.AlertServiceImpl - 触发环境报警: 类型=TEMPERATURE, 参数值=7.61, 阈值=10.0, 级别=HIGH
